Run,Station,CollectionDate,Depth(m),16s_18s,Min_Filter_Size,Temp(degC),Salinity,DO(%),DO(mg/L),pH,Chl(ug/L),H2O-δ18O(‰),DOC(mg/L),TDN(mg/L),NO3(μM),NH4(μM),Bacteriax108cells/L,POC(μg/L),POC-δ13C(‰),PN(μg/L),PN-δ15N(‰),chlorophyll_a_(μg/L)
SRR8838258,BPDL,4/22/12,2,18s,0.22 µm (Sterivex-GP),-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8838259,AN-A,4/20/12,2,18s,0.22 µm (Sterivex-GP),-1.8,32.4,NA,NA,7.9,0.4,-3.3,0.96,0.07,0.5,0,1.75,75.6,-26.1,9.3,6.6,0.1
SRR8838260,BPDL,4/22/12,2,18s,47 mm 3 µm polycarbonate filter,-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8838261,AN-3,6/24/12,2,18s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8838262,BPDL,4/22/12,2,18s,142 mm 3 µm polycarbonate filter,-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8838263,KA-2,8/7/12,1,18s,142 mm 3 µm polycarbonate filter,11.5,23,83.4,7.9,8,2,,,,,,24.9,229.5,-28.1,40.5,7.9,0.2
SRR8838264,KA-A,4/9/13,2,18s,47 mm 3 µm polycarbonate filter,,,,,,,-4.3,1.66,0.24,6.6,7.8,3.3,98,-25.1,21.9,6.3,0
SRR8838265,JA-A,4/13/13,2,18s,0.22 µm (Sterivex-GP),,,,,,,-3.8,1.33,0.22,1.8,0,1.21,43.9,-27.6,8,4,0
SRR8838266,NU-A,4/15/13,2,18s,0.22 µm (Sterivex-GP),-2.5,41.8,81,9.4,7.4,0.6,-4.6,1.75,0.22,2.2,5,2.49,93.3,-28,12.6,2.9,0
SRR8838267,KA-4,6/25/13,2,18s,0.22 µm (Sterivex-GP),0.7,4.3,98,13.6,8.2,3,-14.9,3.94,0.17,0.3,1.5,8.53,470.7,-29.2,57.4,4.2,0.3
SRR8838268,BPDL,6/24/13,2,18s,0.22 µm (Sterivex-GP),0.1,2.6,89,12.7,7.8,4.3,-9.5,3.12,0.15,0.9,2.5,7.94,541.5,-31.1,65,3.6,0.7
SRR8838270,BPDL,8/9/13,1,18s,0.22 µm (Sterivex-GP),8.1,25.7,102.6,10.3,7.9,0,,,,,,4.88,220.6,-27.9,30,9.2,0
SRR8838271,AN-3,6/24/12,2,18s,0.22 µm (Sterivex-GP),2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8838272,BE-2,8/9/13,1,18s,0.22 µm (Sterivex-GP),7.6,26.1,105.7,10.6,8.1,0,,,,,,4.12,146.6,-26.8,29.3,10.2,0
SRR8838275,TA-2,8/11/11,1,18s,0.22 µm (Sterivex-GP),9.4,29.4,99.6,9.4,7.8,0.4,-3.4,1.15,0.08,0,1,5.15,146.2,-23.5,41.3,7.8,0
SRR8838278,AN-2,8/11/13,1,18s,0.22 µm (Sterivex-GP),13.1,16.8,110.5,10.4,8,0,,,,,,9.28,290.1,-28.9,40.4,6.1,0.4
SRR8838279,NU-A,4/20/12,2,18s,0.22 µm (Sterivex-GP),-2.2,39.9,89.3,10.5,7.6,0,-3.4,1.3,0.17,2.5,1.7,4.29,82.4,-26.2,11,7,0.1
SRR8838280,AN-A,4/20/12,2,18s,47 mm 3 µm polycarbonate filter,-1.8,32.4,NA,NA,7.9,0.4,-3.3,0.96,0.07,0.5,0,1.75,75.6,-26.1,9.3,6.6,0.1
SRR8838282,KA-3,8/15/12,1,18s,0.22 µm (Sterivex-GP),9.4,19.5,106,10.7,7.8,1.4,,,,,,14.04,246.9,-27.9,37.7,5.1,0.2
SRR8838283,BPDL,4/22/12,2,18s,142 mm 0.22 µm Supor filter,-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8838285,TA-1,8/9/12,1,18s,47 mm 3 µm polycarbonate filter,10.5,13.6,133.8,13.7,7.9,2.5,-11.1,3.5,0.18,0.6,0.6,14.73,272.3,,38.9,7.9,0.4
SRR8838286,KA-1,8/10/13,1,18s,0.22 µm (Sterivex-GP),13.6,22.3,92.5,8.4,8.1,0,,,,,,14.21,261.2,-28.1,40.1,7.8,0.6
SRR8838287,JA-2,8/13/13,1,18s,47 mm 3 µm polycarbonate filter,10.6,21.1,100,9.7,8,0.6,,,,,,8.21,281.5,-28.2,42.7,5.7,0.7
SRR8838288,HU-1,8/6/12,1,18s,47 mm 3 µm polycarbonate filter,7.3,24.2,91,9.4,7.8,0,,,,,,3.33,109.1,-28.6,16.6,6.3,0.2
SRR8838290,BE-1,8/8/12,1,18s,47 mm 3 µm polycarbonate filter,7,22.5,96.1,9.8,7.9,0,,,,,,4.01,93.9,-28.7,17.3,4.9,0.2
SRR8838291,KA-1,8/7/12,1,18s,0.22 µm (Sterivex-GP),10.8,23.3,85,8.3,8,1.5,,,,,,19.79,222.3,-28.1,43,6.4,0.6
SRR8838292,DE-1,8/13/12,1,18s,0.22 µm (Sterivex-GP),10.1,11.8,107,11.2,8,2,,,,,,10.6,241.8,-31.4,34.8,3.3,0.6
SRR8838293,AN-1,8/17/11,1,18s,0.22 µm (Sterivex-GP),8.4,27.6,107.5,10.5,7.8,0,-4.7,1.34,0.1,0,0,6.09,151.6,-25.9,29.5,6.7,0.3
SRR8838294,KA-3,8/10/11,1,18s,0.22 µm (Sterivex-GP),11.7,26.5,99.4,9.2,7.3,0.2,-5.8,1.25,0.07,0,0.5,17.51,126.6,-23.6,28.9,8,0.3
