Run,Station,CollectionDate,Depth(m),16s_18s,Min_Filter_Size,Temp(degC),Salinity,DO(%),DO(mg/L),pH,Chl(ug/L),H2O-δ18O(‰),DOC(mg/L),TDN(mg/L),NO3(μM),NH4(μM),Bacteriax108cells/L,POC(μg/L),POC-δ13C(‰),PN(μg/L),PN-δ15N(‰),chlorophyll_a_(μg/L)
SRR8833056,AN-3,6/24/12,2,16s,47 mm 3 µm polycarbonate filter,2,2.5,103.5,14.1,7.5,3.9,-15.2,3.21,0.18,0,0,8.4,574.4,-27.5,86.1,3.4,2.3
SRR8833057,BE-2,8/9/13,1,16s,0.22 µm (Sterivex-GP),7.6,26.1,105.7,10.6,8.1,0,,,,,,4.12,146.6,-26.8,29.3,10.2,0
SRR8833058,BPDL,4/22/12,2,16s,142 mm 0.22 µm Supor filter,-1.8,31.4,108.9,13.4,7.8,0,-3.3,0.97,0.08,0.7,0,1.53,43.2,-27.9,5,5.4,0.1
SRR8833059,JA-1,8/13/13,1,16s,47 mm 3 µm polycarbonate filter,10.7,22.4,102.8,9.7,8,0.2,,,,,,8.22,238.1,-28.4,39.3,5.6,0.1
SRR8833061,DP-1,8/22/11,1,16s,0.22 µm (Sterivex-GP),2,31.3,107.7,12.1,7.9,0,-2.5,1.27,0.08,0,3.3,5.69,329,-22.5,61.3,6.6,0.2
SRR8833063,DP-2,8/22/11,1,16s,0.22 µm (Sterivex-GP),2.5,31.2,107.1,11.8,7.9,0.2,-2.1,1.28,0.06,0,0.6,7.69,374.4,-22.1,75,7.3,0.2
SRR8837972,TA-1,8/11/11,1,18s,0.22 µm (Sterivex-GP),11.4,28.6,98,8.9,7.4,0.8,-3.8,1.31,0.11,0,0,5.12,142,-22.7,35.8,8,0.2
SRR8837974,BPDL,8/15/12,1,18s,142 mm 3 µm polycarbonate filter,-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8837979,HU-2,8/6/12,1,18s,47 mm 3 µm polycarbonate filter,7.6,24.5,102.7,10.5,7.8,1,,,,,,4.91,209.9,-27.4,32.4,8.2,0.2
SRR8837980,DP-1,8/13/12,1,18s,0.22 µm (Sterivex-GP),5.4,15.8,106.7,12.1,7.9,0.5,,,,,,2.73,111.5,-28.9,18.3,7.2,0.2
SRR8837982,TA-2,8/9/12,1,18s,47 mm 3 µm polycarbonate filter,11,18.4,142.9,13.8,8,0.3,,,,,,16.08,224.5,-28.8,35.5,4.8,0.6
SRR8837984,AN-2,8/12/12,1,18s,0.22 µm (Sterivex-GP),8.7,21.6,105,10.6,8,0.8,,,,,,14.43,246.6,-28.9,39.9,8.2,0.6
SRR8837985,BPDL,8/15/12,1,18s,0.22 µm (Sterivex-GP),-0.7,29.6,111.6,13.5,7.2,0.6,,,,,,3.58,118.6,-29.1,14.4,7.3,0.2
SRR8837986,DE-3,8/13/12,1,18s,0.22 µm (Sterivex-GP),10,14.9,108.8,11.2,8.1,0,,,,,,8.53,161.7,-29.1,26.9,5.5,0.4
SRR8837987,JA-A,4/18/12,2,18s,142 mm 0.22 µm Supor filter,-1.8,31.3,NA,NA,7.9,0,-3.2,0.92,0.09,0.4,0,1.26,48,-27.4,6.2,5.2,0.1
SRR8837988,KA-4,6/29/12,2,18s,142 mm 0.22 µm Supor filter,3.4,3.9,107.4,14,7.7,2.7,-12.3,2.37,0.1,0,0,4.85,436.3,-27.2,65.3,5.7,2.4
